MergeSort QuickSort TimSort BlockMergeSort OESM Cook_Kim Both LIS DirtyClean2 
356 356 356 361 356 379 392 396 316 
682 695 640 631 626 588 611 694 633 
224 224 224 259 224 368 628 1179 1566 
248 248 248 257 248 304 422 639 726 
99 99 99 436 99 426 507 522 505 
99 99 99 349 99 374 413 622 687 
99 99 99 188 99 263 470 1033 1146 
99 99 99 129 99 183 235 294 198 
189 190 189 195 190 253 402 741 888 

